"STATION","NAME","DATE","TMAX"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-08","88"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-09","94"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-10","100"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-11","101"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-12","103"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-13","101"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-14","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-15","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-16","98"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-17","97"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-18","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-19","98"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-20","98"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-21","92"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-22","79"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-23","71"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-24","83"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-25","94"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-26","96"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-27","97"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-28","98"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-29","98"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-30","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-31","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-01","102"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-02","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-03","103"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-04","105"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-05","100"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-06","85"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-07","86"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-08","93"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-09","101"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-10","101"
